time real imag
1984 -0.12114009320032394 -0.12114009320032394
1985 -0.010656878349599452 -0.010656878349599452
1986 0.0999569892394253 0.0999569892394253
1987 0.20934538967710975 0.20934538967710975
1988 0.3161672272331534 0.3161672272331534
1989 0.419112872096079 0.419112872096079
1990 0.5169202163621714 0.5169202163621714
1991 0.608390147408338 0.608390147408338
1992 0.6924012489465335 0.6924012489465335
1993 0.7679235495253933 0.7679235495253933
1994 0.8340311499230456 0.8340311499230456
1995 0.8899135746203618 0.8899135746203618
1996 0.9348857081859588 0.9348857081859588
1997 0.9683961947533537 0.9683961947533537
1998 0.99003419761341 0.99003419761341
1999 0.9995344360496 0.9995344360496
2000 0.9967804376649345 0.9967804376649345
2001 0.9818059663270592 0.9818059663270592
2002 0.9547946082251355 0.9547946082251355
2003 0.9160775211132957 0.9160775211132957
2004 0.8661293743349622 0.8661293743349622
2005 0.8055625294029816 0.8055625294029816
2006 0.7351195324813371 0.7351195324813371
2007 0.6556640108104229 0.6556640108104229
2008 0.5681700846847711 0.5681700846847711
2009 0.47371042479233466 0.47371042479233466
2010 0.3734431013311629 0.3734431013311629
2011 0.26859738613307177 0.26859738613307177
2012 0.16045868185881285 0.16045868185881285
2013 0.05035276303291517 0.05035276303291517
2014 -0.06037047787865298 -0.06037047787865298
2015 -0.17035358007543214 -0.17035358007543214
2016 -0.27824815681652404 -0.27824815681652404
2017 -0.38273142656743403 -0.38273142656743403
2018 -0.4825224302284915 -0.4825224302284915
2019 -0.5763977356222977 -0.5763977356222977
2020 -0.6632064367045407 -0.6632064367045407
2021 -0.7418842636084275 -0.7418842636084275
2022 -0.8114666305340884 -0.8114666305340884
2023 -0.8711004615172656 -0.8711004615172656
2024 -0.9200546490932657 -0.9200546490932657
2025 -0.9577290176340484 -0.9577290176340484
2026 -0.9836616814681066 -0.9836616814681066
2027 -0.9975347075732665 -0.9975347075732665
2028 -0.9991780134179251 -0.9991780134179251
2029 -0.9885714521634462 -0.9885714521634462
2030 -0.9658450596633099 -0.9658450596633099
2031 -0.931277460230721 -0.931277460230721
2032 -0.885292450719984 -0.885292450719984
2033 -0.8284538048005728 -0.8284538048005728
